City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,Coahuayana,MX,77.9,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
240,Jibuti,DJ,80.47,clear sky,11.5,42.5,Orchid Main Camp Goubet
243,Floriano,BR,79.12,overcast clouds,-6.7669,-43.0225,Hotel Maktub
245,Sinnamary,GF,78.17,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
246,Puerto Escondido,MX,84.2,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
256,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
262,Acarau,BR,76.82,scattered clouds,-2.8856,-40.12,castelo pizzaria
265,Kilindoni,TZ,80.51,clear sky,-7.9139,39.6668,Bustani B&B
267,Banjar,ID,87.3,clear sky,-8.19,114.9675,The Hamsa Resort
268,Sao Filipe,CV,75.13,overcast clouds,14.8961,-24.4956,Hotel Xaguate
269,Ramgarh,IN,84.25,clear sky,23.6333,85.5167,HOTEL TREAT RESIDENCY
272,Moa,CU,76.17,overcast clouds,20.6569,-74.9403,Carmen
277,Keti Bandar,PK,82.69,clear sky,24.1447,67.4497,Haji laloo memon house
278,Sampit,ID,87.75,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
279,Panguna,PG,78.44,light rain,-6.3164,155.4848,
284,Nuevo Progreso,MX,79.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
285,Bandiagara,ML,85.46,clear sky,14.3501,-3.6104,Hotel de la Falaise
289,Soyo,AO,76.86,broken clouds,-6.1349,12.3689,Hotel Mpampa
291,Lapi,PH,88.75,overcast clouds,17.716,121.8978,
292,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
297,Palauig,PH,85.82,overcast clouds,15.435,119.9045,Alperi Botique Resort
299,Bima,ID,87.42,clear sky,-8.4667,118.7167,Lambitu Hotel
304,Kudat,MY,87.73,few clouds,6.8837,116.8477,Dream Garden Hotel
309,Carutapera,BR,76.75,overcast clouds,-1.195,-46.02,Lidera
310,Bengkulu,ID,79.11,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
312,Laksham,BD,86.36,overcast clouds,23.2472,91.1425,MRI ROBEL
313,Tura,IN,77.29,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
314,Kendari,ID,86.45,few clouds,-3.945,122.4989,Hotel Wixel
319,Aitape,PG,87.01,broken clouds,-3.1374,142.3475,
322,Portobelo,PA,80.11,overcast clouds,9.55,-79.65,Scuba Portobelo
323,Wukari,NG,78.42,overcast clouds,7.85,9.7833,Elimtop
333,Weifang,CN,79.61,clear sky,36.71,119.1019,潍坊国际金融大酒店
336,Kidal,ML,88.5,few clouds,18.4411,1.4078,
337,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
339,Pak Phanang,TH,89.04,light rain,8.3511,100.202,Green Park Inn Hotel
350,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
351,Marsh Harbour,BS,77.99,broken clouds,26.5412,-77.0636,Abaco Beach Resort
352,Manggar,ID,85.57,overcast clouds,-2.8833,108.2667,Guest Hotel
354,Balikpapan,ID,85.19,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
355,Omboue,GA,77.67,overcast clouds,-1.5746,9.2618,Hotel Olako
357,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
359,Mana,GF,77.92,overcast clouds,5.6592,-53.7767,LE SAMANA
362,Cozumel,MX,79.0,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
363,Marawi,PH,81.61,overcast clouds,7.9986,124.2928,Derogongan Residence
372,Cocoa Beach,US,80.67,clear sky,28.32,-80.6076,La Quinta Inn by Wyndham Cocoa Beach-Port Canaveral
373,Wewak,PG,82.89,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
375,Patancheru,IN,79.66,light rain,17.5314,78.265,Sri Ganapathi Lodge
376,Amuntai,ID,87.58,overcast clouds,-2.4177,115.2494,Hotel Balqis
379,Lorengau,PG,84.9,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
381,Coruripe,BR,76.84,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
389,Moratuwa,LK,80.62,broken clouds,6.773,79.8816,Sa Mansion By Yoho
392,Kuah,MY,78.78,light rain,6.3265,99.8432,Azio Hotel
399,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,Scoop Guest House
400,Bilma,NE,77.72,clear sky,18.6853,12.9164,Expeditions Ténére voyages
401,Fort Wellington,GY,78.35,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
402,Maningrida,AU,85.12,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
403,Kieta,PG,83.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
406,Sawankhalok,TH,80.49,few clouds,17.316,99.8319,Boon Bunleng Resort
410,Mayumba,GA,76.95,broken clouds,-3.432,10.6554,LIKWALE LODGE
419,Fare,PF,81.57,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
421,Emilio Carranza,MX,77.4,clear sky,19.9711,-96.6114,Hotel Carranza Inn
422,Kavaratti,IN,79.97,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
427,Manama,BH,79.34,clear sky,26.2154,50.5832,Al Safir Hotel
430,Nizwa,OM,78.87,clear sky,22.9333,57.5333,Orient Apartments
