City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Merritt,CA,2022-05-15 14:48:30,50.1123,-120.7942,44.65,92,100,3.42
253,Ondjiva,AO,2022-05-15 14:48:30,-17.0667,15.7333,85.73,18,8,5.99
254,Tifton,US,2022-05-15 14:44:15,31.4505,-83.5085,82.29,68,0,3.44
255,Monywa,MM,2022-05-15 14:48:35,22.1167,95.1333,82.72,74,97,11.72
256,Lao Cai,VN,2022-05-15 14:48:35,22.4833,103.95,70.65,99,100,1.66
257,Westport,US,2022-05-15 14:45:07,41.1415,-73.3579,69.62,94,100,8.05
258,Cooma,AU,2022-05-15 14:48:36,-36.2333,149.1333,48.18,81,2,6.91
259,Kolpashevo,RU,2022-05-15 14:48:36,58.3131,82.9089,61.25,74,100,7.27
260,Acapetahua,MX,2022-05-15 14:46:58,15.2833,-92.7,84.0,59,100,1.77
261,Vilaka,LV,2022-05-15 14:48:37,57.1846,27.6722,57.7,40,99,11.92
262,Mahebourg,MU,2022-05-15 14:48:37,-20.4081,57.7,75.49,78,40,3.44
263,Balkanabat,TM,2022-05-15 14:48:38,39.5108,54.3671,80.35,22,3,10.18
264,Avola,IT,2022-05-15 14:48:39,36.9113,15.1395,80.89,44,5,6.29
265,Marsta,SE,2022-05-15 14:48:40,59.6216,17.8548,62.17,35,0,13.8
266,Mount Gambier,AU,2022-05-15 14:48:40,-37.8333,140.7667,53.96,65,32,12.62
267,Carndonagh,IE,2022-05-15 14:48:41,55.25,-7.2667,65.82,78,63,11.77
268,Norman Wells,CA,2022-05-15 14:48:41,65.282,-126.8329,30.24,100,100,3.44
269,Makat,KZ,2022-05-15 14:48:41,47.6469,53.3463,65.19,67,17,11.81
270,Biak,ID,2022-05-15 14:48:42,-0.9131,122.8766,77.97,86,87,1.97
271,Plavinas,LV,2022-05-15 14:48:42,56.6178,25.7255,56.03,41,50,12.97
