City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Coquimbo,CL,-29.9533,-71.3436,56.93,82,100,2.3,overcast clouds
124,Chino Valley,US,34.7575,-112.4538,88.14,5,0,11.5,clear sky
125,Great Yarmouth,GB,52.6083,1.7305,60.46,94,100,5.55,overcast clouds
126,Tara,RU,56.8944,74.371,55.4,62,100,6.78,overcast clouds
127,Juan Lacaze,UY,-34.4342,-57.4381,49.12,62,99,22.84,overcast clouds
128,Port Moresby,PG,-9.4431,147.1797,85.42,74,20,11.5,few clouds
129,Klaksvik,FO,62.2266,-6.589,47.32,97,67,12.17,broken clouds
130,Nikolskoye,RU,59.7035,30.7861,46.87,91,100,7.27,overcast clouds
131,Hay River,CA,60.8156,-115.7999,48.18,57,40,11.5,scattered clouds
132,Samoded,RU,63.6083,40.5111,41.36,92,40,5.86,scattered clouds
133,Zlatica,ME,43.1146,19.2668,45.14,74,1,1.97,clear sky
134,Madang,PG,-5.2246,145.7966,86.77,61,39,4.18,scattered clouds
135,Beringovskiy,RU,63.05,179.3167,35.31,87,76,5.21,broken clouds
136,Saskylakh,RU,71.9167,114.0833,33.78,100,100,5.06,overcast clouds
137,Kabare,CD,-2.4683,28.8242,61.77,97,100,1.52,light rain
138,Muli,MV,2.9167,73.5667,83.61,77,100,17.94,overcast clouds
139,Carnarvon,AU,-24.8667,113.6333,70.32,32,0,7.74,clear sky
140,Qatana,SY,33.4354,36.0815,52.23,53,23,8.03,few clouds
141,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,75,75,4.61,broken clouds
142,Katherine,AU,-14.4667,132.2667,86.32,37,0,9.22,clear sky
143,Rochefort,FR,45.9167,-1.0,60.85,91,100,8.21,light rain
144,Haines Junction,CA,60.7522,-137.5108,48.15,43,97,1.14,overcast clouds
145,Kralendijk,BQ,12.15,-68.2667,80.58,78,0,18.41,clear sky
146,Hovd,MN,48.0056,91.6419,65.3,16,100,4.41,overcast clouds
147,Pyshma,RU,56.9523,63.2513,52.05,72,100,1.52,overcast clouds
148,Harwich,GB,51.9419,1.2844,60.51,79,100,1.99,overcast clouds
149,Saryg-Sep,RU,51.5,95.6,67.96,22,23,2.39,few clouds
150,Beisfjord,NO,68.3751,17.5988,38.05,99,100,6.31,light rain
151,Khasan,RU,42.4308,130.6434,55.38,63,81,8.48,broken clouds
152,Ilo,PE,-17.6394,-71.3375,63.82,84,29,6.55,scattered clouds
153,Aksu,CN,41.1231,80.2644,69.19,37,100,1.57,overcast clouds
154,Moron,AR,-34.6534,-58.6198,54.97,64,85,11.1,overcast clouds
155,Mantua,IT,45.1667,10.7833,67.24,81,94,1.41,overcast clouds
156,Suntar,RU,62.1444,117.6319,45.14,55,14,8.1,few clouds
157,Laguna,US,38.421,-121.4238,87.46,49,0,18.41,clear sky
158,Mareeba,AU,-17.0,145.4333,80.65,63,0,0.89,clear sky
159,Kulhudhuffushi,MV,6.6221,73.07,81.0,85,100,21.59,overcast clouds
160,Mildura,AU,-34.2,142.15,62.08,73,3,15.99,clear sky
161,Talnakh,RU,69.4865,88.3972,45.21,92,100,8.59,overcast clouds
162,Puerto Cabezas,NI,14.0351,-83.3888,78.62,87,99,8.3,overcast clouds
163,Hermitage,US,41.2334,-80.4487,71.53,63,100,0.0,overcast clouds
164,Raudeberg,NO,61.9875,5.1352,41.86,89,59,16.31,broken clouds
165,Ligatne,LV,57.2343,25.0406,43.25,84,3,1.01,clear sky
166,Whyalla,AU,-33.0333,137.5833,64.33,55,21,13.76,few clouds
167,Peruibe,BR,-24.32,-46.9983,67.78,88,0,4.99,clear sky
168,Asau,RO,46.4333,26.4,54.52,100,77,1.74,broken clouds
169,Bardiyah,LY,31.7561,25.0865,64.72,83,0,7.63,clear sky
170,Kununurra,AU,-15.7667,128.7333,87.78,55,0,3.44,clear sky
171,Port Blair,IN,11.6667,92.75,84.81,75,95,7.83,overcast clouds
172,The Pas,CA,53.8251,-101.2541,37.42,81,100,13.8,overcast clouds
173,Port Elizabeth,ZA,-33.918,25.5701,55.69,98,0,2.3,clear sky
174,Sola,VU,-13.8833,167.55,80.55,72,100,15.93,overcast clouds
175,Deniliquin,AU,-35.5333,144.9667,64.22,49,51,12.39,broken clouds
176,Phonhong,LA,18.5007,102.4166,77.14,93,92,2.19,overcast clouds
177,Malakal,SS,9.5334,31.6605,77.77,71,77,3.94,broken clouds
178,Dandong,CN,40.1292,124.3947,66.15,47,72,5.61,broken clouds
179,Cayenne,GF,4.9333,-52.3333,81.09,1,75,5.99,light rain
180,Jacareacanga,BR,-6.2222,-57.7528,74.3,99,100,1.81,light rain
181,Bereda,ES,43.2686,-7.5406,60.42,69,100,8.25,overcast clouds
182,Elda,ES,38.4778,-0.7916,62.89,60,69,3.6,broken clouds
183,Chahuites,MX,16.2833,-94.1833,86.5,58,6,4.07,clear sky
184,Evensk,RU,61.95,159.2333,40.33,85,100,11.18,overcast clouds
185,Sterling,US,39.0062,-77.4286,69.4,91,75,1.99,broken clouds
186,Hamilton,US,39.1834,-84.5333,73.24,65,0,0.0,clear sky
187,Atasu,KZ,48.6814,71.6433,63.3,48,100,8.59,overcast clouds
188,Labuhan,ID,-6.8844,112.2051,83.75,76,67,4.54,broken clouds
189,Paris,FR,48.8534,2.3488,63.37,92,0,6.91,clear sky
190,Faanui,PF,-16.4833,-151.75,80.78,72,23,8.63,few clouds
191,Vao,NC,-22.6667,167.4833,73.98,73,30,16.91,scattered clouds
192,Saedinenie,BG,42.2667,24.55,55.38,94,20,4.61,few clouds
193,Chokurdakh,RU,70.6333,147.9167,21.11,82,100,13.33,overcast clouds
194,Juybar,IR,36.6412,52.9124,62.69,68,0,4.34,clear sky
195,Khatanga,RU,71.9667,102.5,32.5,100,100,3.69,overcast clouds
196,Pangai,TO,-19.8,-174.35,80.71,50,20,12.66,few clouds
197,Hinton,CA,53.4001,-117.5857,56.68,45,100,3.13,overcast clouds
198,Sertania,BR,-8.0736,-37.2644,67.6,92,45,4.23,scattered clouds
199,Pisco,PE,-13.7,-76.2167,63.01,88,6,0.0,mist
200,Omsukchan,RU,62.5333,155.8,36.1,94,100,8.21,overcast clouds
201,Thinadhoo,MV,0.5333,72.9333,83.79,70,100,15.97,overcast clouds
202,Bac Lieu,VN,9.285,105.7244,86.74,68,100,9.75,overcast clouds
203,Namatanai,PG,-3.6667,152.4333,85.1,62,100,2.68,overcast clouds
204,Aljezur,PT,37.3191,-8.8033,59.94,96,69,4.9,broken clouds
205,Deputatskiy,RU,69.3,139.9,21.06,93,100,17.07,light snow
206,Vanimo,PG,-2.6741,141.3028,86.45,61,91,3.49,overcast clouds
207,Revda,RU,56.801,59.9303,48.65,79,100,1.14,overcast clouds
208,Sindor,RU,62.8629,51.8905,45.21,93,84,3.76,broken clouds
209,Diffa,NE,13.3154,12.6113,82.85,22,69,7.81,broken clouds
210,Husavik,IS,66.0449,-17.3389,45.1,83,42,7.72,scattered clouds
211,Houma,US,29.5958,-90.7195,79.0,83,0,4.61,clear sky
212,Hasaki,JP,35.7333,140.8333,57.6,93,100,16.69,light rain
213,San Cristobal,VE,7.7669,-72.225,71.78,95,96,2.48,overcast clouds
214,Yulara,AU,-25.2406,130.9889,71.62,27,41,13.56,scattered clouds
215,Algete,ES,40.5971,-3.4974,63.81,69,0,6.91,clear sky
216,Pochinki,RU,54.6988,44.8668,42.91,92,37,6.11,scattered clouds
217,Dinajpur,BD,25.6272,88.6386,86.99,72,82,9.89,broken clouds
218,Middelburg,ZA,-25.7751,29.4648,48.65,92,0,6.76,clear sky
219,Longyearbyen,SJ,78.2186,15.6401,30.04,74,75,1.14,light snow
220,Sitka,US,57.0531,-135.33,53.49,50,20,12.66,few clouds
221,Bairiki,KI,1.3292,172.9752,86.0,74,40,8.05,scattered clouds
222,Krasnorechenskiy,RU,44.6265,135.3532,56.91,34,97,9.89,overcast clouds
223,Broken Hill,AU,-31.95,141.4333,64.27,51,1,8.39,clear sky
224,Chuy,UY,-33.6971,-53.4616,45.46,71,0,8.34,clear sky
225,Narsaq,GL,60.9167,-46.05,37.62,68,45,2.57,scattered clouds
226,Dawei,MM,14.0833,98.2,77.22,96,100,3.74,overcast clouds
227,Bloomfield,US,40.8068,-74.1854,73.09,79,75,3.44,broken clouds
228,Jalu,LY,29.0331,21.5482,70.16,35,0,9.13,clear sky
